Protein	JD0439_0_0	JD0439_0_4	JD0439_0_8	JD0439_1_0	JD0439_1_4	JD0439_1_8	JD0439_2_0	JD0439_2_4	JD0439_2_8	JD0440_0_0	JD0440_0_4	JD0440_0_8	JD0440_1_0	JD0440_1_4	JD0440_1_8	JD0440_2_0	JD0440_2_4	JD0440_2_8	JD0441_0_0	JD0441_0_4	JD0441_0_8	JD0441_1_0	JD0441_1_4	JD0441_1_8	JD0441_2_0	JD0441_2_8	JD0442_0_0	JD0442_0_4	JD0442_0_8	JD0442_1_0	JD0442_1_4	JD0442_1_8	JD0442_2_0	JD0442_2_4	JD0442_2_8	JD0443_0_0	JD0443_0_4	JD0443_0_8	JD0443_1_0	JD0443_1_4	JD0443_2_0	JD0443_2_4	JD0443_2_8	JD0444_0_0	JD0444_0_4	JD0444_0_8	JD0444_1_0	JD0444_1_4	JD0444_1_8	JD0444_2_0	JD0444_2_4	JD0444_2_8	JD0445_0_0	JD0445_0_4	JD0445_0_8	JD0445_1_0	JD0445_1_4	JD0445_1_8	JD0445_2_0	JD0445_2_4	JD0445_2_8	JD0447_0_0	JD0447_0_4	JD0447_0_8	JD0447_1_0	JD0447_1_4	JD0447_1_8	JD0447_2_0	JD0447_2_4	JD0447_2_8	JD0448_0_0	JD0448_0_4	JD0448_0_8	JD0448_1_0	JD0448_1_4	JD0448_1_8	JD0448_2_0	JD0448_2_4	JD0448_2_8	JD0449_0_0	JD0449_0_4	JD0449_0_8	JD0449_1_0	JD0449_1_4	JD0449_1_8	JD0449_2_0	JD0449_2_4	JD0449_2_8	JD0450_0_4	JD0450_0_8	JD0450_1_0	JD0450_1_4	JD0450_2_0	JD0450_2_4	JD0450_2_8	JD0451_0_0	JD0451_0_4	JD0451_0_8	JD0451_1_0	JD0451_1_4	JD0451_1_8	JD0451_2_0	JD0451_2_4	JD0451_2_8	JD0452_0_0	JD0452_0_4	JD0452_0_8	JD0452_1_0	JD0452_2_0	JD0452_2_4	JD0453_0_0	JD0453_0_4	JD0453_0_8	JD0453_1_0	JD0453_1_4	JD0453_1_8	JD0453_2_0	JD0453_2_4	JD0453_2_8	JD0457_1_0	JD0457_1_4	JD0457_1_8	JD0468_0_LF	JD0468_1_LF	JD0468_2_LF	JD0469_0_LF	JD0469_1_LF	JD0469_2_LF	JD0470_0_LF	JD0470_1_LF	JD0470_2_LF	JD0471_0_LF	JD0471_1_LF	JD0471_2_LF
1433B_HUMAN	-0.632163789260161	1.54901295006422	1.01061895981255	-0.0394337664438151	-2.12538797483262	-0.643088833178555	0.56993810003107	-0.426759311720077	-0.723680328255578	1.70083257070022	0.74547959827463	-0.390957198346296	0.370132774259471	0.133835115602081	-0.20475398213077	0.449562570485332	1.06799418965635	0.87524976103491	0.0868219353899379	0.256614141052372	-0.637953063685689	-1.55090958808183	-0.647216270873981	1.40822386472222	-0.0695285874826017	-2.07761159014135	0.886753400086254	1.39831589993528	0.0354926054955814	-0.677281371989043	-0.68595254227527	-0.374537635712117	-1.30797449857608	-1.40943463464021	-0.603873176919098	-0.879746464337098	-0.26436400486594	-0.285349416055943	0.499332788897193	0.120397951547285	0.464692202405456	0.48299566095271	-0.0409917789020016	0.101158745485709	-0.409251449872862	-0.513532041058462	-0.341693073358591	-0.250679110621919	-0.0867227563823999	0.053342842083839	0.21611094030226	-0.201830948629329	-0.293212337083905	0.012327851391935	-0.554481349581906	1.05027859900455	0.687789851126867	0.630605773329032	0.147464937122625	-0.757013274934166	0.598127251584498	-0.172623427294706	-0.0113567977451494	0.217867374797536	-0.217856790634155	0.35075555108217	-0.640190639352807	0.0483410358474255	0.310836914713111	0.572722264113789	-0.0889907047049948	-0.0563476912829799	-0.295712729850249	0.444478303687972	0.482368086586391	0.266189082398364	-0.716266509913231	-1.12552436092733	0.477359477160825	0.00120976203401287	0.17313347804187	0.458524708690496	0.0218979475220615	0.131541459465882	-0.0852521944806364	0.191687567799531	0.316788244132011	0.0346174221572889	-0.227539751409123	1.3906031002536	0.196929915133172	-0.412821394892209	-1.93969784777138	-0.553021698745456	-1.14180861189531	1.21912680963693	-0.884507330579688	1.32900953837268	-0.104816552094733	0.00267344033387756	0.802819449883656	0.0196768055987958	0.781187172079074	-0.225774942793965	0.650590798711393	-0.20513960148153	-0.0290143100098086	0.632439491580771	0.257158311064293	0.045391574374568	-0.257066260761557	-0.826376802412682	-0.0627978893082808	-0.597076348384583	0.721595557687383	0.894915007701056	0.19943548872152	-0.291123268419375	0.249701758282093	0.792805207193762	0.298061421719057	-1.38426899139949	-0.065977880337068	0.546493855081734	-0.163944923856583	0.578186517541743	-0.301763527801438	0.732704518950005	-0.338672261020716	0.377938789632287	-0.782696568593072	-0.0871111031544212	-0.564448947391482	0.135687769329248
1433E_HUMAN	-0.138446924607878	-0.027053818575578	-0.546324047604348	0.0938661421238464	-0.772684349894044	0.136679550172143	0.111067183219185	0.200655060178078	-0.308306707763234	0.272759414279474	0.147705666531376	0.422818590000385	0.0533316705188193	0.096477212080278	-0.0499559117918516	-0.750543766719778	-0.596108379683374	-0.405858619535644	0.194475478939501	0.0946596902128043	-0.0688696340517197	0.548502030467876	-0.148563778294474	-0.164175499386194	-0.316708149218497	0.247414612847879	0.0123854236664806	0.376774953044195	0.179531559334822	-0.160987469704426	-0.265466493989366	-0.161974827749628	-0.111757076852282	0.148835647738302	0.265961515082226	0.18999559959803	0.0058894006540396	0.749455832885813	0.47999954096877	0.283154901701706	0.0124267725883403	-0.465419976991178	0.779259265533002	-0.0873556974728795	0.289332380549079	0.335194983860251	-0.443963513577808	-0.297278733193026	0.158546725911843	-0.335970345475415	-0.422079279034799	-0.18889892004568	0.129517827330382	0.428657581475102	0.0764421798878829	0.278788087292979	0.0161520128135918	-0.351949994641343	-0.18706445195397	0.397818248363374	0.467927309107671	-1.31220720382641	0.420416330862421	0.557052304158851	0.258033565908643	0.142725283191058	0.299231584157864	-0.496662094814392	0.350709119612831	-0.0785527618521623	0.275054973835615	-1.10048203414318	-0.509647229198634	-0.299443455297869	0.444823246925072	-0.165472942599161	0.140058294992123	0.203485371918562	0.141358414734252	-0.211047322621758	0.127924939113376	-0.152163235790599	0.472288464471728	0.696747595374205	0.0806185976838082	0.175938896946021	-0.763956156630732	-0.147722129157547	-0.5028306218935	-0.205823610655104	-0.667425655019428	-0.154727408170269	0.825433273821663	0.159550593425977	0.0719334826491289	-0.0363164276454407	-0.0312799999436748	-0.0752589670109855	-0.0556774576994513	0.131306451072065	0.242039299784558	0.214403721181267	-0.41979935861047	-0.653580428348199	0.151941580326728	-0.0275296142512034	-0.240107021419949	-0.3769765676367	0.229970800697708	-0.0677770685989909	0.358720773153448	0.0838176712198781	-0.00621136477029531	-0.0485388251051026	0.185156749775227	0.308198414648862	0.22395784198467	0.0992939437230809	-0.442892068256116	0.0219131838812591	-0.0369672796456531	0.409326885977362	-0.157491709450795	0.359832811317564	-0.513302003466636	0.239403938389033	-0.0653519770304572	0.408909492353323	-0.220885680961552	0.0670710836342887	-0.210056176697496	0.197230313495596	-0.442131029160392	0.211721913830067
1433F_HUMAN	0.855572022960476	-0.216981326320682	-0.0647986820814969	0.0886004893614877	-0.121897809337648	0.00410268281270601	0.164558218165444	-0.0923377304356012	0.457863491084875	-0.10778585056634	0.627417810790364	0.0565693485333352	-0.601257227915083	-0.96863681474028	-0.0582102600046373	0.249334781553046	-0.10047075641038	0.426943715507592	0.599536545767507	0.00200005544469999	0.136337743028638	1.02146466080189	-0.200576490068153	0.952976464201659	-0.212636366709429	-0.203687535385818	-0.115816816728971	-0.226927807630742	-0.500671055410226	-0.0703683888136648	-0.154412358079432	-1.05969513791177	-0.28267227074077	-0.431903829685518	-0.333973984481882	0.739999659782488	0.0109036995599321	1.08829789527741	0.323770950477685	0.36593851068848	0.867994146080295	0.325664849313043	0.11249668864414	-0.101693589368536	0.93447351365373	0.349700191836115	-0.0761527757291448	-0.0205944423703909	-0.430955878447715	-0.378107977709219	-1.04506574706965	0.142752888593197	-0.319576285296774	-0.177322281866045	0.148808364150135	0.000530901623633234	-0.32236042316712	-0.53447472755563	0.291941018780524	-0.316420624956033	-0.187230378374518	-0.160190794099938	-0.850097256364412	-0.806583530302127	0.193174884728905	0.0633152192400968	0.167876384086659	-0.805738265732648	0.100612513186488	-0.503850312404033	0.63018699102601	-0.359715178205427	0.521248897938965	0.0467948412520364	0.19711800008589	-0.0664678125307804	-0.459720142926085	-0.111519119135371	-0.635280480827909	-0.11972481320353	1.00923227005847	0.451275589042226	-1.84459305282557	-0.259833992592165	-0.253549653469963	-0.333263725054636	-0.175702880021021	-0.253576080101555	0.171234655198662	0.545861072828304	0.0787330010932184	-0.227780130374783	0.490766616087058	0.194960411985116	-0.543001406071169	0.394690395333882	0.659941619777293	-0.17940329848633	-0.290914904803333	2.15303612740421	0.522120584263026	0.755195162149416	1.88355600634106	0.487143266382687	-0.804916574672368	-0.0510641512236731	-0.111751891495578	-0.30799848089647	-0.469303448948301	0.266183278797154	0.235009436729785	-0.195339439413256	-0.338960732251504	-0.336209706914679	-0.104446439537426	-0.0268699176328187	-0.336765135246264	-0.502811707247247	-0.322080068886032	0.437054550049463	-0.291563482498408	-0.473030605556383	0.499912268562378	0.114654481974327	0.21659413316518	-0.120580344114924	-0.24750551438519	-0.11788210679129	0.268539322421794	-0.596805531360593	-0.227820104073616	0.0794118247163126	0.317828963940462	-0.239928234272971
1433G_HUMAN	0.202155212893129	0.0693016123244296	-0.293659844754027	-0.0517895403493289	-0.64772517211128	-0.0582352709571165	-0.700933216973633	-0.562460080724867	0.285255562971373	-1.19588342095531	-0.276841780813091	0.749704547230609	0.822188799012861	-0.0458901362997025	-0.896498178862397	0.306374875451962	0.435358078094931	-0.280315572385073	-0.755922076952552	-0.570458470462614	0.58880061643232	-0.845750359238226	-0.398853478158132	-0.459168582110177	0.756871540783117	-0.259239521761601	0.0242719569780386	-1.68128020735727	-1.91231537716477	-0.410011904102207	0.533756149455737	0.65826177216381	0.131322908805161	0.487690114929067	-0.451146257528873	0.657733053147127	-0.307953907482852	0.847651367579518	0.0281339858725272	0.177376254123864	0.3006764401776	-0.480742869147935	0.278208319977547	-0.0675667780068278	-1.34978314061278	-0.241183808956948	-2.32770873999733	-1.79064127464033	-2.41629709001235	0.298340495342705	1.09290698540196	0.173520075423094	-0.187512679097385	-0.103750836242339	-0.847270994679841	0.26486271666894	-0.825352185342238	-0.320976909758081	-1.21143461310197	-0.388954397273856	2.03905249289181	-1.32977712289402	0.431436917768641	0.341635444445721	-0.0417664718873523	-0.436301739769615	0.0158262177498887	0.198365761075721	-1.27115130598686	1.21144819890058	0.552169669387828	-0.0550443627043188	-0.356521519361266	0.51940848297235	0.240314401719178	0.589938114970998	0.904323561831873	-1.0713435095117	1.83686253575004	0.116342074606134	0.730814059873646	0.0177008274184148	0.928918163654115	0.371716829054868	0.3753350415507	0.599608671370477	1.17148033088736	0.307391350782806	-0.294436459333708	-0.221654709103123	-0.0234235120194993	-0.514329317763017	-0.709103090787314	-0.510755525518743	0.0770934149055543	0.374994288213918	0.9305239004274	0.794563029267205	0.617899406760179	2.16554317114807	0.0545652490993129	0.429341051400548	0.154966063269382	-0.552231976578186	0.227390311031196	0.264594302936437	-0.438783777969107	0.355947517012203	0.78682202849535	-0.631702742851253	1.03573724856265	1.12959822498897	0.304231219435072	0.159396546804525	0.194543679864657	0.579162801196111	-0.624116992527282	1.03474558713826	0.327593298874549	-0.520890061635906	-0.206072756279072	-0.274324734786714	0.0178894234674937	-0.0187392838477974	-0.405820307762281	0.0576874094704048	0.140068569006356	-0.433513321744517	-0.0311452894020662	0.0347487029834217	0.0964195872199689	0.0185032393415859	0.181039067981166	0.378037636193502
1433T_HUMAN	0.559577108430204	0.256447203658358	0.0451993469740774	2.19548577518261	-0.188106350856915	1.35950603048853	0.339005832321002	0.934879944426071	0.802208133387688	0.468145836595043	0.529180654310671	-0.150161274578449	-0.174636253779299	1.05112448035402	-0.700598200566021	-1.22265633652793	0.752241807133121	0.506712912729218	0.335318466860135	0.0408382320763791	-0.576421386032813	0.0128949272537231	-0.299207785681339	0.0623264766812648	-0.417667645007669	-1.80843858518276	0.0616114667666137	0.436438666708154	-0.290549069711954	0.419173831769298	0.87971044304497	0.631701050666652	-0.131255238201505	-0.214412435552098	0.318808760275599	0.394891407108374	0.754928042745559	-1.55620284651285	0.455166892625783	-0.143971567041625	-0.654001573257751	-0.468157244656001	0.533184877445796	-0.923048005291374	0.00673959316344974	-1.33477987319473	0.602791389901073	-0.254847590081629	0.37680504839685	1.49520892444411	-0.179456997573382	1.76279868080082	-0.418772006921457	-2.21737137618194	1.2086990948841	-0.118136554508923	0.589161640617728	-0.711527099083986	0.5973769503769	-0.787348053904806	-0.399763741638244	-0.445845421494712	-0.0839468714001066	0.0984461288510896	-0.0568893909183446	0.312062898509039	-0.258668323571044	0.48786902790699	-0.380618098676083	-0.11692974218335	-1.88448592335877	-0.0832070984033485	0.0739645253314278	-1.34574396503954	-0.427938344805446	-0.715053336043233	0.856467096546039	-0.055543557159726	-0.382659895809546	-0.213891521296494	0.228871409495734	0.293280357845041	-0.694007592715459	-0.845815194319895	-0.783319752147416	-0.0204859437890217	0.384983838949006	-0.0428104583824087	-0.0966140628268524	-0.00236859245966453	-0.781112846229967	0.220972461239313	-0.754850807049407	-0.605507910137413	-0.0697126891117364	0.307723178154662	-0.788244065804271	0.374179808753215	-0.17413573072373	0.136391362496232	0.423294325366702	0.653410950001184	0.0190296511618988	0.00573511601475372	0.979887787663026	0.40742573772132	0.976904385239451	0.0934499572977142	-0.057393788587032	0.629654325478819	0.206104523280526	-0.0201754021100663	-0.252740895438255	-0.12600267560761	-0.300353223712795	0.121982617857914	-0.349159223865018	1.0289665924759	-0.305019420519118	-0.969422534184201	-0.706392618805207	0.468375654995201	-0.823940574804727	0.583347638723192	-0.37874918588353	0.637443086716854	-0.591706155587246	0.642917006359159	-0.360668464960611	0.528126704405455	-0.760482508900424	0.530498870066336	-0.29364018509114	0.25969212993429
1433Z_HUMAN	-1.68369810814999	-1.20364970261466	-0.664781201472561	0.290674975110668	-0.778847256509447	-0.142467930842466	0.481252828811889	0.415986884691786	0.176847097965092	0.255009692575516	-0.526583933746799	0.260620172830898	-0.0898874972475369	0.331801140933641	0.452596541172149	0.487148212578616	0.00631216650875	0.166617873363364	0.0691235260202923	0.29235121224148	-0.289107242176822	0.251012672839278	-0.535700055667012	-0.584642671038865	-0.526108979579831	0.640310781430209	-0.210092632605934	-0.144272680150757	-0.175289489773637	-0.146373004224255	0.00976241686171646	-0.0472704260309675	-0.131251017299017	0.182178840970977	0.363187393056833	-0.237929510278017	0.508433445145747	0.50850520792632	-0.201746690391314	-0.646937927854429	-1.30322049220944	0.077211514689221	0.101651961323359	0.0121976938993364	-0.312127936348881	-0.368456900437378	-0.397045018559452	0.106170792559347	-0.315856049543657	0.514838855877411	0.195003774218463	0.458793901074421	0.261598900096034	0.388424717044348	0.123282927982001	0.805492009131004	1.2811817049377	0.395030550193917	-0.0476113560662573	-0.162124223340824	0.0490707708415201	-0.890605323890908	-0.512355061083656	0.979079229765505	-0.825817010167064	-0.668525614231902	-1.03925810460943	0.554865409885292	0.467930271995541	0.283183594752425	0.455535653142212	-0.18765531316188	-0.899422017353631	0.452885417551838	0.859946883387105	0.227697304405626	0.00746239216389451	0.483306183736764	-0.0285649386975356	-0.122838995206101	0.517068698034163	0.172451748155917	-0.449250271625634	0.076491395557004	0.089743778358705	0.692958117980321	0.381731681747477	-0.712519003432451	-0.164547786717489	-0.263826567462706	-0.701677589492932	-0.190449946757191	-0.249385890408425	-0.520158063682901	-0.757739212813859	1.05985895907815	1.11034866026485	0.816986153533339	0.290311795697723	-0.166226118321358	0.373410446505678	0.468248233908187	-1.91877872488606	-0.0550457915792228	0.377207954623679	0.408291532264398	0.519005134435506	0.288992520890154	-0.217071206632848	-0.163215213227659	0.0516730889045736	-0.239621520419835	-0.208977288834057	0.115348314147784	-0.063743364462598	0.171644682518519	0.190907723665374	-0.225843680361337	-0.339698401211807	-0.0309550287061487	-0.210987789946748	1.05546275484174	-0.174998762961394	0.146554736278479	-0.423606569834026	0.115461649466895	-0.0353992643394673	0.25266285866352	-0.296744546139482	0.235556222433691	-0.193449768509375	0.261153502254076	-0.149685437695795	0.240617281125708
5MP1_HUMAN	-1.0783399659758	-0.722167810319074	-1.29383857346608	-0.0376574164203632	-0.18383582023185	-0.138772313836315	1.16111360346206	0.101427864391855	0.407576038415314	-0.442535021387438	-0.340084993481353	0.0740694856524733	-0.149670449906409	-0.0278391326639099	0.561954237328453	-0.0382727394201629	-0.489211109630575	-0.327888319064737	-0.460399238567537	-0.281493887162663	0.326288099969356	-0.407270278531931	-0.192052716831645	-0.577214175221812	0.0749603964055708	-0.267627357726404	0.116205860546991	0.0428268341688656	-0.308744879099209	-0.0983927493355242	0.131659792710068	0.545768014015552	0.141507168368627	0.0409616964850047	0.160502315390262	0.156553483632423	-0.137399088468607	0.138882908865124	0.127839648668963	-0.133976029963245	0.0424735991966142	0.406655129930086	-0.2582258554297	0.522389530031088	-0.870464049047623	0.305929873063101	-0.390042440846937	0.0532026134966499	-0.0235406346000607	-0.2279332975372	0.704969576577271	-0.126483625201094	0.19991286798635	0.088238082956135	0.337128397857407	0.0924210815051738	0.404801479226346	0.242790366482133	0.0618400454936119	-0.00552354330433698	0.3878256222155	0.113996816466113	-0.264226395756396	-0.114660636379108	0.311257347998246	0.314652163065647	0.298398855232517	0.0458003507615792	0.190446208578139	0.380423512604542	-0.187573073720072	-0.274602249178844	-0.131320069143696	-0.609801278049876	0.299137173691055	-0.562436258093646	-0.596457887744947	-0.0126629310436405	0.400240431155024	0.321445862421679	0.407891267998293	0.0195265446719762	0.0775316131569077	-0.204896109219209	0.0507211699369046	-0.168341847776281	0.0662432555065343	-0.181827376335858	0.115427330799154	-0.0767224648868169	0.0511088277280867	0.0704761593095069	-0.115557743951678	-0.23981527024758	0.0322387884603103	-0.101575292114712	0.376678311417011	0.00108026252317356	0.446970034604476	-0.347794219518794	-0.374338183880407	-0.0477833947830204	-0.245971206074931	-0.139079141368255	0.212334067256776	0.283010526021013	-0.323340998083142	0.0992062413021845	0.401502914328671	0.0259176131441611	0.135184775398866	0.178269200923974	-0.197288479155746	0.0424976959335845	0.0342801840849668	0.233303636669282	0.261170547530918	0.0513154751921881	0.173913180084419	0.561923431189743	0.37201866244994	0.155514253676641	0.066587739274253	-0.0875540917093014	0.0260034030896703	0.0224629491392935	-0.424569517533756	0.236275526088371	0.10735439817621	0.22242359474463	-0.149671825522855	0.0059800432153325	-0.202355005161221	-0.0416976023830014
5MP2_HUMAN	0.356799675563045	1.02110139011648	-0.425410580422088	-0.365652301876188	-0.132422736756725	-0.315527358877475	0.924233071918058	-0.0012964830370925	0.364883104472996	0.239160189239592	-0.366358697501558	0.275258497876581	0.83264617852319	-0.190459362412836	-0.391036694584931	-0.193288383162433	0.318576435240974	-0.0254597735765081	0.316968008945714	0.282485986304106	-0.359080699433771	0.0609475165071942	-0.269958096565342	-0.306256085020153	-0.224275347671709	0.015409777211376	-0.281935516181882	-0.670784459109077	-0.414869809645109	0.182201435832377	-0.181470069031017	-0.209973216537212	-0.217383171572952	-0.00308603619951376	-0.0229956648699586	0.38636300866662	-0.387514851810116	0.0149328385648437	0.0714014693517735	0.445739402062222	-0.212110096025823	0.00328956921219963	0.241053485246727	0.353086923641421	-0.0633791252317921	0.211321673426102	0.00194926870276708	-0.161836441546819	-0.109406849667861	0.083826376741176	-0.00516786045542144	-0.0359908002020313	-0.446957262322807	-0.628097364574668	-0.134759685650254	-0.389260280564094	0.0159035283362358	-0.0126015645638455	-0.503874824517596	0.00843402787951543	-0.38277839705848	0.291836961552345	0.438955130438623	0.628438979593342	-0.224637216970546	-0.394997113555941	-0.164103852638958	-0.276052721636423	-0.00895962655827696	-0.0458570360634213	1.60385001189761	0.291889828803644	0.311578658008032	0.0831196724391816	-0.513761471041063	0.900172439084793	1.17608470260813	-1.68882663439302	-1.29252208026364	-0.0535410931583029	0.205538141361807	-0.363789426607681	-0.545045879831248	-0.287889405469215	-0.447321054116286	-0.285582819754358	-0.0361870604009177	0.0453426813096232	0.168529309350638	0.786605109238141	-0.153912029191277	-0.228595534544089	0.75450341063674	-0.00949182193019351	-0.0189443387545198	-0.281754237174379	-0.111388553971321	-0.104381916846541	-0.179251300722491	0.912583329595506	0.35447387958306	0.0647535302170064	0.272766646802364	-0.0912162852802728	0.0663449132517654	0.155944108136951	0.903486518946949	-0.233340471549196	-0.197483092353783	-0.113393466231596	0.111285112189275	-0.254333110968775	-0.467001925014263	-0.194566222270311	-0.109316079416637	-0.379441467551274	-0.251381669343727	-0.0389005084477059	0.060226979776599	0.891439911971712	0.442977958607174	0.215299136652107	-0.0939644659283849	-0.000621516578364955	-0.0811894847608708	0.312699603024472	0.116849481327046	0.225557225794114	0.0361314764854459	-0.385056710356793	-0.25775862985935	-0.0517138146009325	0.254456266983311	-0.151504860907302
6PGD_HUMAN	-1.64913829155604	0.242694405432228	0.804503802064116	-0.320127366403744	-0.0247034622385688	1.49537038761901	0.782140277546996	0.450543242294091	0.141254935322252	-0.634251026882942	-0.550159268608714	0.387907707264406	0.056271229053767	0.466860942413595	-0.072128001132657	0.28455221714152	-0.099273128715562	-0.427755199929906	-0.793379323948078	-0.982715138921075	-0.0425721887306518	-0.474084466099477	-0.352224285452308	-1.10612256930424	-0.278274524051261	-1.01627535855277	0.307494554428233	-1.6182413090016	-0.0918045772611765	-1.31951236060849	-0.529621284151133	0.111738883758252	-0.186423935752583	0.252953098314521	-1.39133818701195	-0.0905720231541034	0.865729591809978	1.53514022256204	-0.629858863660718	0.175499040056829	-0.52969375656723	0.443657697642849	0.00195305378221201	0.0228259841492622	-0.106424514995587	0.586230920545488	0.338669838262979	-0.778097378440956	-0.252521336543994	0.971413085938784	0.371220157418219	0.28322103689927	-0.0353177889536093	0.352559161444751	-0.536998858205833	-1.514338245455	-0.175848641276497	0.257469949499412	0.197371335835344	0.454306382684157	0.360861975251628	0.35691465502139	-0.568981335880142	-0.44528642490009	0.270037840918512	0.151255417498748	0.211794757570167	-0.316220405004568	0.118503143904209	0.661816011250498	0.273315444754895	-0.160930929656024	0.099126952595714	0.616028758914503	0.537845120522762	0.282492992013751	-0.0767421762269824	0.340130118166299	0.505906715280943	0.762153604457153	1.0178110471903	-1.18809097474586	0.747295121908212	0.847055580555995	0.446102244279702	0.30473845007131	-0.278582209805788	0.293756028179182	-0.348554871120844	-0.783789808078778	0.303150741690211	0.482812460356621	1.02110761037876	1.0608010035291	1.04927114053208	0.673073069017031	0.95809845914832	-0.522556685588044	0.904330922826449	0.365800500821285	-1.01521626108155	-0.290659839582617	-1.75059879494647	-1.36935632959255	0.846348134367975	-0.00933635913184353	-0.619617422041697	0.61040972425666	-0.658749603791019	-1.42319520347247	0.324578375988111	-0.32481203179631	0.626144720064421	0.843762736691509	0.647031238750459	0.102889802412906	-0.453981138012857	0.072788295230821	-0.221458884550331	-0.336740875854785	-0.932629211304995	0.0136426463018908	0.235462036486863	-0.304131261747795	0.221300321749237	-0.323345827816325	0.0227641976339174	-0.108830129844305	0.0315038482859667	-0.114716433096797	0.0348220968619923	-0.0565509377306563	0.379580259161388	-0.0645104360634526
AAAT_HUMAN	-0.39914022296927	0.218923984397492	0.176332899625339	0.0157770400002391	-0.00112442097642961	-0.219877845693165	-0.0642630420995256	0.0896006896215553	-0.0544171841087268	0.458489846720789	-0.343846283985427	0.119862988314898	-0.366198925210373	0.0382004630677814	0.170180167284394	-0.099070035327529	0.161081707770409	0.136457179698955	0.181501745857557	-0.112093096023606	-1.21670238160958	-0.14939477664898	-0.320897527438567	0.185231764643879	-0.0886036053226878	0.195349961340077	-0.0952378175644277	-0.15546001294462	0.100839470434823	0.0542581466726008	-0.0922261261400208	-0.697590144614136	0.0744463793732934	0.146517004049218	1.14243870889981	-0.153229561288696	-0.557406261333883	-0.0592824156812854	-0.088236162146127	-0.0360453140188004	-0.0116239245907698	0.0151640729021578	0.194706203588778	0.228332260783435	-0.148739187036754	0.351854219610481	-0.126056931026029	0.00572051386795158	0.0601278072194936	-0.348147488724692	0.000139333621169254	-0.0548977361611206	0.242634477377998	-0.269124234547975	-0.0326046197586841	-0.00692291295832768	-0.291645659160167	-0.084272404782521	0.505367116180393	-0.123822713681279	-0.0391511854842456	0.2322896779445	0.498153232562384	-0.217733405192583	0.0304890864662297	-0.283052202168772	0.032984149648509	0.380467437020258	0.00937921370924986	0.62761509417386	-0.0698069514100321	-0.236299636833318	-0.24641098018989	-0.0137274867382241	-0.0119848615529586	0.0179917394270875	-0.460307792563877	-0.0504957999170171	-0.0945284320822272	0.195317711650127	0.0721103833081806	-0.257770596530812	1.31105861745052	0.874350012595305	0.0914996509407234	-0.0127308892362386	0.119253255753583	-0.059007071830239	0.240435034394297	-0.164482640562194	0.043562533558297	0.391603863874186	0.699285971256303	0.181413783318622	-0.0827526953183967	-0.465498353212678	0.11116987598265	-0.241161667785779	-0.165850494460229	-0.196977269019766	-0.0699145264299704	-0.375396733899646	-0.845754600203879	-0.15517179003903	-0.44937440767123	0.238815809368129	0.0154066735552419	0.00555863578961772	0.114174761217237	0.497491558985613	-0.412702052867433	-0.113578682368483	-0.0686166658535232	0.0238973425302143	0.0239629451133834	0.718757178621093	0.0481909748925831	0.169365423512653	-0.0295344191342185	-0.126443628351268	-0.0279036356941822	-0.288255749892589	0.100567594391883	-0.23121180536289	-0.497124247771703	-0.271615532876429	-0.0218160563165291	0.040720574144662	0.102988099764788	0.300397562320213	-0.0291442339206175	-0.00971906089618106	0.319953905707076	0.110993699339229
